2015-04-30 17:53:17,937'INFO:Set logger---
2015-04-30 17:53:17,941'INFO:binding_blocks:clean: Complete
2015-04-30 17:53:17,941'INFO:binding_blocks:consolidate:Entered
2015-04-30 17:53:17,947'INFO:building_blocks : consolidated
2015-04-30 17:53:17,948'CRITICAL:binding_blocks:writetofile:WROTE FILE to hererhere.asm
2015-04-30 17:53:17,948'INFO:build_dep:alp=0
2015-04-30 17:53:17,948'INFO:building_blocks:getblock:got  0 as block_num
2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    ADD R6, R6, R7

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    TRAP FUN

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    STR R6, R0, FUN

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R1,R0, ZERO

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R2,R0, ZERO

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R3,R0, ZERO

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R4,R0, GOOD

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R5,R0, GOOD

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R6,R0, GOOD

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDI R1, R0, TEST

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    STI R4, R0, DONE

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    LDR R2, R0, RESULT

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    STR R1, R0, GOOF

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    STR R2, R0, GOOF

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,961'INFO:build_dep:Returned:    AND R3, R3, 0

2015-04-30 17:53:17,962'INFO:build_dep:Returned:    BRp DOH

2015-04-30 17:53:17,962'INFO:build_dep:Returned:    BRn DOH

2015-04-30 17:53:17,962'INFO:build_dep:Returned:    BRnp DOH

2015-04-30 17:53:17,962'INFO:build_dep:Returned:    BRz WOOHOO

2015-04-30 17:53:17,962'INFO:build_dep:Returned:    BRnz DOH

2015-04-30 17:53:17,962'INFO:build_dep:Returned:    BRnzp DOH

2015-04-30 17:53:17,962'INFO:analyzing block 2
2015-04-30 17:53:17,962'INFO:build_dep:alp=3
2015-04-30 17:53:17,962'INFO:building_blocks:getblock:got  3 as block_num
2015-04-30 17:53:17,962'INFO:binding_blocks:getblock: Returned data request for 3
2015-04-30 17:53:17,962'INFO:build_dep:Returned:    ADD R3, R3, 4

2015-04-30 17:53:17,962'INFO:analyzing block 3
2015-04-30 17:53:17,962'INFO:build_dep:alp=4
2015-04-30 17:53:17,962'INFO:building_blocks:getblock:got  4 as block_num
2015-04-30 17:53:17,962'INFO:binding_blocks:getblock: Returned data request for 4
2015-04-30 17:53:17,963'INFO:build_dep:Returned:    ADD R3, R3, 6

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    AND R4,R4,0

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    BRz SOFAR

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    ADD R3, R3, 1

2015-04-30 17:53:17,963'INFO:analyzing block 4
2015-04-30 17:53:17,963'INFO:build_dep:alp=5
2015-04-30 17:53:17,963'INFO:building_blocks:getblock:got  5 as block_num
2015-04-30 17:53:17,963'INFO:binding_blocks:getblock: Returned data request for 5
2015-04-30 17:53:17,963'INFO:build_dep:Returned:    ADD R3, R3, 6

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    AND R4,R4,0

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    BRnp DOH2

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    ADD R4, R4, 10

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,963'INFO:build_dep:Returned:    BRp SOGOOD

